Nation ID,Nation,State ID,State,Municipality ID,Municipality,Population,Municipio Tienditas1 Excel,Municipio Zip Codes NL
mex,Mexico,19,Nuevo Leon,19001,Abasolo,2974,Abasolo,Abasolo
mex,Mexico,19,Nuevo Leon,19002,Agualeguas,3382,Agualeguas,Agualeguas
mex,Mexico,19,Nuevo Leon,19003,Los Aldamas,1407,Los Aldamas,Los Aldamas
mex,Mexico,19,Nuevo Leon,19004,Allende,35289,Allende,Allende
mex,Mexico,19,Nuevo Leon,19005,AnÃ¡huac,18030,Anáhuac,Anáhuac
mex,Mexico,19,Nuevo Leon,19006,Apodaca,656464,Apodaca,Apodaca
mex,Mexico,19,Nuevo Leon,19007,Aramberri,14992,Aramberri,Aramberri
mex,Mexico,19,Nuevo Leon,19008,Bustamante,3661,Bustamante,Bustamante
mex,Mexico,19,Nuevo Leon,19009,Cadereyta JimÃ©nez,122337,Cadereyta Jiménez,Cadereyta Jiménez
mex,Mexico,19,Nuevo Leon,19010,El Carmen,104478,El Carmen,El Carmen
mex,Mexico,19,Nuevo Leon,19011,Cerralvo,7340,Cerralvo,Cerralvo
mex,Mexico,19,Nuevo Leon,19012,CiÃ©nega de Flores,68747,Ciénega de Flores,Ciénega de Flores
mex,Mexico,19,Nuevo Leon,19013,China,9930,China,China
mex,Mexico,19,Nuevo Leon,19014,Doctor Arroyo,36088,Doctor Arroyo,Doctor Arroyo
mex,Mexico,19,Nuevo Leon,19015,Doctor Coss,1360,Doctor Coss,Doctor Coss
mex,Mexico,19,Nuevo Leon,19016,Doctor GonzÃ¡lez,3256,Doctor González,Doctor González
mex,Mexico,19,Nuevo Leon,19017,Galeana,40903,Galeana,Galeana
mex,Mexico,19,Nuevo Leon,19018,GarcÃ­a,397205,García,García
mex,Mexico,19,Nuevo Leon,19019,San Pedro Garza GarcÃ­a,132169,San Pedro Garza García,San Pedro Garza García
mex,Mexico,19,Nuevo Leon,19020,General Bravo,5506,General Bravo,General Bravo
mex,Mexico,19,Nuevo Leon,19021,General Escobedo,481213,General Escobedo,General Escobedo
mex,Mexico,19,Nuevo Leon,19022,General TerÃ¡n,14109,General Terán,General Terán
mex,Mexico,19,Nuevo Leon,19023,General TreviÃ±o,1808,General Treviño,General Treviño
mex,Mexico,19,Nuevo Leon,19024,General Zaragoza,6282,General Zaragoza,General Zaragoza
mex,Mexico,19,Nuevo Leon,19025,General Zuazua,102149,General Zuazua,General Zuazua
mex,Mexico,19,Nuevo Leon,19026,Guadalupe,643143,Guadalupe,Guadalupe
mex,Mexico,19,Nuevo Leon,19027,Los Herreras,1959,Los Herreras,Los Herreras
mex,Mexico,19,Nuevo Leon,19028,Higueras,1386,Higueras,Higueras
mex,Mexico,19,Nuevo Leon,19029,Hualahuises,7026,Hualahuises,Hualahuises
mex,Mexico,19,Nuevo Leon,19030,Iturbide,3298,Iturbide,Iturbide
mex,Mexico,19,Nuevo Leon,19031,JuÃ¡rez,471523,Juárez,Juárez
mex,Mexico,19,Nuevo Leon,19032,Lampazos de Naranjo,5351,Lampazos de Naranjo,Lampazos de Naranjo
mex,Mexico,19,Nuevo Leon,19033,Linares,84666,Linares,Linares
mex,Mexico,19,Nuevo Leon,19034,MarÃ­n,5119,Marín,Marín
mex,Mexico,19,Nuevo Leon,19035,Melchor Ocampo,1483,Melchor Ocampo,Melchor Ocampo
mex,Mexico,19,Nuevo Leon,19036,Mier y Noriega,7652,Mier y Noriega,Mier y Noriega
mex,Mexico,19,Nuevo Leon,19037,Mina,6048,Mina,Mina
mex,Mexico,19,Nuevo Leon,19038,Montemorelos,67428,Montemorelos,Montemorelos
mex,Mexico,19,Nuevo Leon,19039,Monterrey,1142994,Monterrey,Monterrey
mex,Mexico,19,Nuevo Leon,19040,ParÃ¡s,906,Parás,Parás
mex,Mexico,19,Nuevo Leon,19041,PesquerÃ­a,147624,Pesquería,Pesquería
mex,Mexico,19,Nuevo Leon,19042,Los Ramones,5389,Los Ramones,Los Ramones
mex,Mexico,19,Nuevo Leon,19043,Rayones,2377,Rayones,Rayones
mex,Mexico,19,Nuevo Leon,19044,Sabinas Hidalgo,34709,Sabinas Hidalgo,Sabinas Hidalgo
mex,Mexico,19,Nuevo Leon,19045,Salinas Victoria,86766,Salinas Victoria,Salinas Victoria
mex,Mexico,19,Nuevo Leon,19046,San NicolÃ¡s de los Garza,412199,San Nicolás de los Garza,San Nicolás de los Garza
mex,Mexico,19,Nuevo Leon,19047,Hidalgo,16086,Hidalgo,Hidalgo
mex,Mexico,19,Nuevo Leon,19048,Santa Catarina,306322,Santa Catarina,Santa Catarina
mex,Mexico,19,Nuevo Leon,19049,Santiago,46784,Santiago,Santiago
mex,Mexico,19,Nuevo Leon,19050,Vallecillo,1552,Vallecillo,Vallecillo
mex,Mexico,19,Nuevo Leon,19051,Villaldama,3573,Villaldama,Villaldama